buying,maint,doors,persons,lug_boot,safety
0.0445,-0.1814,-0.0095,-0.1746,0.0796,0.4823
-0.0096,0.0505,0.4646,0.1599,0.4241,0.1513
0.0748,0.1464,-0.1226,-0.0597,-0.0068,0.2086
0.0266,-0.0739,-0.0377,0.2745,0.0216,0.0296
0.1091,0.0490,0.2002,0.8397,-0.0203,0.0630
0.0955,0.1062,-0.0587,0.2137,0.0444,-0.1603
0.0060,-0.0276,-0.0206,-0.1369,0.0294,0.3904
-0.3761,-0.3757,-0.1593,-0.3551,-0.1923,-0.3008
0.0896,0.0263,0.0270,0.1843,-0.1530,0.0665
0.0514,0.0279,0.0959,-0.0188,-0.1196,0.2039
-0.0877,-0.1420,-0.3809,-0.6681,-0.2908,-0.1898
0.3398,0.3833,-0.0456,0.0327,-0.1943,-0.2751
0.2641,-0.0492,0.0800,0.0705,0.1165,-0.2411
0.0184,0.0350,-0.1099,0.3176,-0.0087,-0.0117
0.0266,0.1145,0.0243,-0.1492,-0.0329,0.2575
0.1054,-0.0536,0.3426,-0.2632,0.1401,-0.0306
0.0634,0.0539,-0.1882,0.2424,-0.1339,0.2032
-0.0273,0.0176,-0.0453,0.2084,0.0413,0.0461
0.0254,0.1026,-0.0312,0.2715,0.0147,-0.1421
-0.0432,-0.1288,-0.1193,0.6672,-0.1101,-0.0250
0.0090,-0.0839,0.1332,-0.2658,0.3202,0.1282
0.2639,0.0439,-0.0307,-0.1028,0.2676,-0.2011
-0.0450,-0.1215,-0.0596,0.2528,-0.0106,0.2246
-0.4202,-0.2617,0.0339,-0.5820,-0.2851,-0.2442
-0.0785,-0.0541,-0.0489,-0.1770,-0.0482,0.6475
-0.0787,-0.1196,0.0049,0.2248,0.0040,0.2054
-0.2184,-0.5509,-0.1100,-0.2027,-0.2348,-0.4425
0.0936,0.2292,0.0757,-0.0467,0.0700,-0.1810
0.3453,0.4512,-0.0489,-0.0873,0.2228,0.3577
-0.4657,-0.4497,-0.0996,-0.4350,-0.0205,-0.2887
0.2397,0.2871,0.0863,-0.1780,0.0397,-0.2340
0.0802,0.1594,-0.1135,-0.0685,-0.0380,0.2212
0.0146,0.0276,0.0627,-0.0379,0.2587,-0.0849
-0.1454,-0.1476,-0.3667,-0.3657,-0.2554,-0.4784
-0.0857,0.0105,-0.1029,0.1974,0.0277,0.1936
0.0010,-0.0286,-0.2187,0.2450,0.0220,0.2200
0.0990,0.1076,0.0040,-0.3122,0.0417,-0.6993
-0.1344,-0.0114,-0.0919,-0.1341,-0.0283,0.6409
0.0970,0.3165,0.1927,-0.2480,-0.1022,-0.0152
0.0298,0.0148,0.0682,-0.2663,-0.0712,0.4655
-0.1055,-0.0719,-0.0168,-0.1358,-0.0768,0.6476
-0.0493,0.1183,-0.0669,0.5455,-0.0407,-0.2663
0.0344,-0.4069,-0.0756,-0.3730,-0.2729,-0.6652
0.0204,-0.0916,0.0346,-0.0589,0.0802,0.2560
0.0659,-0.0021,0.0218,0.8357,0.0616,0.2579
0.0944,-0.0824,0.0290,-0.1497,0.0514,-0.7019
0.1237,0.1595,0.1716,0.6926,0.0193,0.0740
0.0331,0.0686,0.0358,0.0656,-0.0000,0.0376
0.4891,0.1901,0.5582,0.0866,-0.0737,-0.0095
0.5225,0.1343,0.3899,-0.0378,0.1900,0.0419
0.0513,0.0286,0.0270,-0.1642,0.0217,0.2763
0.5139,0.1483,0.0748,0.1345,0.1039,0.2655
0.4686,0.2940,-0.0621,-0.2340,-0.0532,-0.1725
0.2974,0.0941,-0.0316,-0.0926,0.1415,-0.1681
-0.2526,-0.3926,0.0128,-0.5229,-0.0675,-0.5364
0.0299,-0.0372,-0.1638,-0.5193,-0.2737,-0.7951
-0.0131,-0.0774,0.0446,0.1895,0.0052,0.0921
-0.0796,-0.0503,-0.0977,0.7126,-0.0476,-0.1966
0.4489,0.2398,0.0522,-0.0541,0.1899,0.3642
0.0703,0.2203,-0.1754,-0.2892,-0.4589,-0.1262
-0.2402,-0.5360,-0.2426,-0.1678,-0.1724,-0.4003
-0.2083,-0.4220,-0.1626,-0.4088,-0.0209,-0.5366
0.2374,0.1841,0.0845,0.7528,0.0721,-0.0901
-0.0400,-0.0540,-0.0146,0.1517,-0.0472,0.2449
-0.1541,-0.2191,-0.0467,-0.3841,-0.1091,-0.8462
0.0778,-0.6214,0.0002,-0.3271,-0.4530,-0.4358
-0.3060,-0.2085,-0.0058,-0.4133,-0.0536,-0.7720
0.0363,-0.1109,-0.0287,-0.0872,0.0381,0.3931
-0.3351,-0.2352,-0.0036,-0.5848,-0.0058,-0.5949
0.0385,0.0101,-0.0379,0.1655,-0.0077,0.0724
