Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
1.569940476190476164e-02,-9.314701140873016261e-02,-1.136253720238095261e-01,-9.210689484126984017e-02,-3.472222222222222355e-04,-1.202070932539682502e-01,-6.125992063492063412e-03,-9.902963789682539542e-02,8.138020833333333912e-03,2.321273561507936414e-02
3.338758680555555663e-02,-9.698660714285714524e-02,-1.019221230158730146e-01,-8.671719990079365670e-02,5.484250992063491661e-03,-1.068312872023809562e-01,-5.533854166666666956e-03,-1.079101562500000000e-01,1.270306299603174600e-02,-2.321273561507936414e-02
1.448567708333333391e-02,-9.213479662698412231e-02,-1.032459077380952356e-01,-1.001875620039682502e-01,4.792906746031746351e-03,-1.102384052579365031e-01,-1.142423115079365011e-02,-9.922650049603175260e-02,-8.138020833333333912e-03,2.777777777777777624e-02
2.575489831349206393e-02,-8.785342261904761918e-02,-9.492962549603174705e-02,-9.594649057539682280e-02,3.125775049603174427e-02,-9.586588541666667129e-02,-1.050502232142857227e-02,-1.089704241071428603e-01,-1.270306299603174600e-02,-2.777777777777777624e-02
1.267981150793650843e-03,9.895058283730158444e-02,1.215618799603174621e-01,1.256045386904761918e-01,-1.708519345238095066e-02,9.958767361111110772e-02,-4.538690476190476546e-03,8.836495535714285199e-02,-3.782242063492063607e-04,9.125434027777778317e-03
8.942522321428570883e-03,1.009083581349206338e-01,1.084635416666666630e-01,1.084805927579365059e-01,-5.493551587301587734e-03,9.878317212301587769e-02,6.680927579365079482e-04,1.030443948412698429e-01,7.789248511904761987e-03,-9.125434027777778317e-03
5.609809027777777797e-03,1.030257936507936456e-01,1.081256200396825407e-01,1.050734747023809590e-01,-6.389508928571428423e-03,9.398096478174602919e-02,3.780691964285714298e-03,9.158296130952381375e-02,3.782242063492063607e-04,1.729290674603174705e-02
4.310825892857143155e-03,1.015469990079365115e-01,1.226795014880952411e-01,1.093951512896825379e-01,-4.248821924603174253e-03,1.063507564484127005e-01,4.521639384920635336e-03,1.029870411706349242e-01,-7.789248511904761987e-03,-1.729290674603174705e-02
1.917162698412698540e-02,-8.886253720238095066e-02,-1.104647197420634969e-01,-1.038349454365079388e-01,-2.853732638888888725e-03,-1.351004464285714413e-01,6.125992063492063412e-03,-8.836495535714285199e-02,2.839781746031745917e-03,2.380487351190476233e-02
3.383866567460317581e-02,-8.594525049603174427e-02,-1.051494295634920612e-01,-9.857700892857142183e-02,3.162202380952380994e-03,-1.112847222222222154e-01,5.533854166666666956e-03,-1.030443948412698429e-01,7.731894841269841556e-03,-2.380487351190476233e-02
1.782614087301587213e-02,-8.493768601190476719e-02,-1.134424603174603169e-01,-1.107948908730158749e-01,1.677207341269841166e-03,-1.335658482142857151e-01,1.142423115079365011e-02,-9.158296130952381375e-02,-2.839781746031745917e-03,2.869698660714285754e-02
