F1,F2,F3,F4,F5,F6,F7,F8,F9
-4.776785714285713969e-02,-9.639601934523810145e-02,6.506231398809524114e-02,-1.036132812499999944e-01,-6.912202380952381375e-02,-4.178292410714285615e-02,-2.921549479166666852e-01,7.175874255952380265e-02,4.917224702380952606e-02
-4.917224702380952606e-02,-1.006184895833333315e-01,6.775948660714285754e-02,-9.950241815476190688e-02,-1.017764136904761862e-01,-9.950241815476190688e-02,6.775948660714285754e-02,-1.006184895833333315e-01,-4.917224702380952606e-02
-4.635416666666666852e-02,-9.498232886904761640e-02,6.439267113095238637e-02,-9.386625744047619180e-02,-9.895833333333332871e-02,-7.161923363095237804e-02,9.564267113095238637e-02,-2.682710193452381153e-01,4.917224702380952606e-02
-4.353608630952381098e-02,-8.836960565476190133e-02,6.200241815476190133e-02,-9.104817708333333426e-02,-7.009858630952381375e-02,-2.420898437500000056e-01,1.245024181547619013e-01,1.006184895833333315e-01,-2.168247767857142960e-01
-3.139880952380952328e-02,-6.409505208333333981e-02,5.257161458333333565e-02,-6.677362351190475886e-02,-5.796130952380952606e-02,-7.443731398809523558e-02,2.921549479166666852e-01,2.682710193452381153e-01,2.168247767857142960e-01
-5.058593749999999722e-02,-1.034458705357142877e-01,5.972377232142857262e-02,-1.127464657738095205e-01,-1.136067708333333287e-01,4.967912946428571647e-02,-1.175827752976190410e-01,-6.386253720238095621e-02,-1.241629464285714211e-02
-5.014880952380952606e-02,-1.025716145833333315e-01,5.888671874999999722e-02,-1.118722098214285782e-01,-1.131696428571428575e-01,4.080636160714285615e-02,-1.264555431547619013e-01,-7.273530505952380265e-02,1.241629464285714211e-02
-4.733072916666666852e-02,-9.595889136904761640e-02,5.649646577380952606e-02,-1.090541294642857206e-01,-8.430989583333332871e-02,6.966610863095237804e-02,-2.969261532738095011e-01,6.386253720238095621e-02,-2.128906250000000069e-02
-4.635416666666666852e-02,-9.400576636904761640e-02,5.495256696428571508e-02,-1.071010044642857206e-01,-8.333333333333332871e-02,4.178292410714285615e-02,-3.248093377976190577e-01,7.273530505952380265e-02,2.128906250000000069e-02
-4.353608630952381098e-02,-9.216424851190475886e-02,5.508277529761904795e-02,-7.921781994047619180e-02,-2.575985863095238138e-01,9.950241815476190688e-02,1.175827752976190410e-01,-2.432059151785714302e-01,-2.128906250000000069e-02
-4.255952380952381098e-02,-9.021112351190475886e-02,5.353887648809523697e-02,-7.726469494047619180e-02,-2.566220238095238138e-01,7.161923363095237804e-02,1.264555431547619013e-01,-2.710890997023809312e-01,2.128906250000000069e-02
-3.042224702380952328e-02,-6.311848958333333981e-02,4.692615327380952189e-02,-6.512741815476190410e-02,-8.615141369047618625e-02,2.420898437500000056e-01,2.969261532738095011e-01,2.432059151785714302e-01,-4.917224702380952606e-02
-2.760416666666666574e-02,-5.748232886904761779e-02,4.355933779761905073e-02,-5.949125744047618902e-02,-8.333333333333332871e-02,7.443731398809523558e-02,3.248093377976190577e-01,2.710890997023809312e-01,4.917224702380952606e-02
-5.156249999999999722e-02,-7.525576636904761363e-02,9.141090029761904379e-02,-2.893926711309524058e-01,8.222656250000000278e-02,-8.105933779761904934e-02,-8.730933779761904101e-02,-3.358909970238094927e-02,-2.031250000000000069e-02
