Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
4.838095238095242723e-02,-1.015476190476190116e-01,-1.060238095238097977e-01,-1.224880952380953680e-01,-2.214285714285750203e-03,-1.070595238095236740e-01,-2.321428571428572549e-02,-1.168809523809523909e-01,9.916666666666660440e-03,-3.886904761904764333e-02
2.863095238095225009e-02,-9.883333333333341186e-02,-9.361904761904758787e-02,-1.104761904761907276e-01,-3.202380952380925756e-03,-1.072499999999997483e-01,-1.109999999999999321e-01,-9.294047619047617059e-02,-7.571428571428575303e-03,3.626190476190472439e-02
3.822222222222249055e-02,-9.832539682539655213e-02,-1.032777777777779404e-01,-1.024682539682541665e-01,5.984126984126988437e-03,-1.084761904761903650e-01,-2.781349206349207834e-02,-1.169682539682539851e-01,-8.432539682539685541e-03,-3.844444444444446857e-02
-8.570634920634898068e-02,-2.488492063492066253e-02,4.184126984126984583e-02,9.829365079365083580e-03,-1.270119047619049646e-01,1.696031746031745682e-02,-1.003968253968254426e-01,-1.118611111111110640e-01,-9.251587301587298195e-02,-8.625396825396819400e-02
-6.071428571425285803e-04,5.185714285714254634e-02,1.002261904761909961e-01,9.385714285714306937e-02,-1.969047619047623390e-02,8.961904761904768146e-02,-5.928571428571465310e-03,6.992857142857156205e-02,3.333333333333287143e-04,6.040476190476182228e-02
5.694444444445299902e-03,6.295634920634879395e-02,1.105753968253967295e-01,1.031349206349206765e-01,-2.436507936507931876e-02,9.975396825396821987e-02,6.242063492063501008e-03,-3.121428571428568402e-02,9.077777777777785995e-02,1.644444444444445944e-02
-5.119047619047897846e-03,6.147619047619030941e-02,1.223333333333337658e-01,1.131190476190476607e-01,-1.370238095238091036e-02,1.035714285714285365e-01,4.047619047619064638e-03,7.384523809523819982e-02,4.761904761904833458e-04,-2.004761904761903982e-02
1.327063492063492167e-01,-1.291269841269861857e-02,-6.587301587301639880e-03,-3.892460317460309793e-02,-2.165079365079362189e-02,-3.698412698412639667e-03,1.240992063492062925e-01,1.283968253968255646e-01,-3.944444444444451803e-03,1.425158730158726794e-01
4.005952380952360059e-02,-9.338095238095235617e-02,-9.176190476190480838e-02,-1.144285714285713934e-01,-4.107142857142816184e-03,-1.095119047619045188e-01,1.704761904761903021e-02,-9.355952380952378689e-02,4.214285714285700805e-03,-1.145714285714285047e-01
1.336388888888883075e-01,-5.833333333339430285e-04,1.507936507936071327e-04,-2.058333333333328685e-02,-9.091269841269802865e-03,3.396825396825450989e-03,1.396468253968250195e-01,3.540476190476190416e-02,5.710317460317466780e-03,1.523095238095234782e-01
