Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
0.000000000000000000e+00,-3.989863994746656317e-17,-2.194999999999995011e-01,-2.106666666666665855e-01,1.466666666666665286e-01,-1.934999999999997278e-01,-1.886666666666667325e-01,1.438333333333335073e-01,-2.281666666666668786e-01,0.000000000000000000e+00
-2.775557561562891351e-17,1.734723475976807094e-18,-1.158571428571426587e-01,-1.038571428571427313e-01,2.103095238095234742e-01,-9.335714285714273586e-02,-9.502380952380941326e-02,2.238095238095232364e-01,2.239761904761899680e-01,0.000000000000000000e+00
-2.775557561562891351e-17,1.734723475976807094e-18,-1.158571428571426587e-01,-1.038571428571427313e-01,2.103095238095234742e-01,-9.335714285714273586e-02,-9.502380952380941326e-02,2.238095238095232364e-01,2.239761904761899680e-01,0.000000000000000000e+00
6.938893903907228378e-17,6.938893903907228378e-18,-2.063333333333335629e-01,-2.368333333333330903e-01,1.196666666666668377e-01,-1.855000000000002480e-01,1.724999999999999589e-01,-1.976666666666667682e-01,-2.158333333333334325e-01,0.000000000000000000e+00
6.938893903907228378e-17,6.938893903907228378e-18,-2.063333333333335629e-01,-2.368333333333330903e-01,1.196666666666668377e-01,-1.855000000000002480e-01,1.724999999999999589e-01,-1.976666666666667682e-01,-2.158333333333334325e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.295974604355933479e-17,-1.133333333333333692e-01,-1.173333333333330952e-01,2.074999999999998790e-01,-8.916666666666669960e-02,2.429999999999993554e-01,-9.716666666666654018e-02,2.164999999999994429e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.295974604355933479e-17,-1.133333333333333692e-01,-1.173333333333330952e-01,2.074999999999998790e-01,-8.916666666666669960e-02,2.429999999999993554e-01,-9.716666666666654018e-02,2.164999999999994429e-01,0.000000000000000000e+00
1.387778780781445676e-17,2.255140518769849223e-17,-1.085952380952381890e-01,-1.217619047619046269e-01,2.144047619047617093e-01,-9.726190476190467449e-02,2.489047619047614346e-01,2.187380952380947596e-01,-1.044285714285713568e-01,0.000000000000000000e+00
1.387778780781445676e-17,2.255140518769849223e-17,-1.085952380952381890e-01,-1.217619047619046269e-01,2.144047619047617093e-01,-9.726190476190467449e-02,2.489047619047614346e-01,2.187380952380947596e-01,-1.044285714285713568e-01,0.000000000000000000e+00
8.326672684688674053e-17,4.336808689942017736e-17,-7.223809523809536504e-02,-7.107142857142853543e-02,1.052619047619044595e-01,-5.590476190476194318e-02,1.140952380952378470e-01,1.105952380952379271e-01,1.192619047619045969e-01,0.000000000000000000e+00
8.326672684688674053e-17,4.336808689942017736e-17,-7.223809523809536504e-02,-7.107142857142853543e-02,1.052619047619044595e-01,-5.590476190476194318e-02,1.140952380952378470e-01,1.105952380952379271e-01,1.192619047619045969e-01,0.000000000000000000e+00
-4.163336342344337027e-17,-8.673617379884035472e-17,-2.138333333333333475e-01,-2.161666666666664238e-01,1.471666666666665846e-01,1.496666666666663648e-01,-1.900000000000001410e-01,-2.044999999999996265e-01,-2.223333333333333828e-01,0.000000000000000000e+00
