Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9
-6.403571428571422364e-02,-6.403571428571422364e-02,3.663095238095236128e-02,-5.350000000000002670e-02,-5.403571428571431884e-02,3.653571428571426166e-02,-2.712976190476191762e-01,5.853571428571418406e-02,5.520238095238095416e-02
-6.883333333333327420e-02,-6.883333333333327420e-02,4.066666666666664959e-02,-5.666666666666667768e-02,-5.666666666666667768e-02,3.833333333333329568e-02,4.833333333333322129e-02,-9.816666666666676311e-02,-9.816666666666677699e-02
-6.409523809523798299e-02,-6.409523809523796911e-02,3.799999999999996436e-02,-5.219047619047618297e-02,-5.242857142857142855e-02,3.649999999999999772e-02,8.699999999999996625e-02,-3.017619047619050088e-01,5.307142857142860964e-02
-6.616666666666667918e-02,-6.616666666666667918e-02,3.900000000000002770e-02,-5.250000000000002581e-02,-5.250000000000002581e-02,3.516666666666665164e-02,9.666666666666665075e-02,6.616666666666660979e-02,-3.196666666666666545e-01
-4.849999999999993899e-02,-4.849999999999991818e-02,3.216666666666665592e-02,-3.733333333333332948e-02,-3.766666666666665386e-02,3.000000000000002665e-02,3.128333333333333521e-01,2.539999999999995595e-01,2.229999999999999760e-01
-6.922619047619030241e-02,-6.922619047619030241e-02,4.045238095238089249e-02,-5.083333333333331372e-02,2.384523809523811030e-02,-5.089285714285714940e-02,-4.800000000000006345e-02,-4.805952380952388525e-02,-4.805952380952388525e-02
-6.710714285714283744e-02,-6.710714285714283744e-02,3.866666666666659924e-02,-4.890476190476188145e-02,2.275000000000001327e-02,-4.944047619047620135e-02,-8.669047619047620667e-02,-8.710714285714288296e-02,2.494047619047621775e-02
-6.829761904761896818e-02,-6.829761904761896818e-02,3.944047619047614389e-02,-4.994047619047619485e-02,2.329761904761907393e-02,-5.013095238095240797e-02,-8.783333333333334658e-02,2.972619047619048244e-02,-8.796428571428573095e-02
-6.352380952380951018e-02,-6.352380952380951018e-02,3.557142857142851777e-02,-4.623809523809523786e-02,2.161904761904762107e-02,-4.735714285714286848e-02,-2.715714285714287413e-01,6.033333333333319032e-02,5.469047619047619907e-02
-6.789285714285706042e-02,-6.789285714285704654e-02,3.984523809523803084e-02,-4.955952380952385883e-02,2.317857142857143379e-02,-4.955952380952382413e-02,4.933333333333322218e-02,-9.872619047619056454e-02,-9.872619047619057842e-02
-6.322619047619043586e-02,-6.322619047619039423e-02,3.729761904761900310e-02,-4.515476190476189200e-02,2.113095238095239609e-02,-4.539285714285710982e-02,8.866666666666667140e-02,-3.023928571428576850e-01,5.229761904761906499e-02
-6.529761904761904878e-02,-6.529761904761904878e-02,3.823809523809523075e-02,-4.673809523809524524e-02,2.196428571428572091e-02,-4.679761904761906011e-02,9.799999999999998990e-02,6.755952380952372216e-02,-3.216309523809528503e-01
-4.784523809523797550e-02,-4.784523809523805182e-02,3.159523809523807208e-02,-3.341666666666676111e-02,1.772619047619046484e-02,-3.384523809523808102e-02,3.152023809523810116e-01,2.564642857142852561e-01,2.219642857142856418e-01
-6.552380952380945645e-02,-6.552380952380945645e-02,3.916666666666662744e-02,-2.412261904761904829e-01,6.314285714285702844e-02,8.690476190476185969e-02,-4.555952380952385528e-02,-4.569047619047623965e-02,-4.569047619047623965e-02
-6.391666666666659391e-02,-6.391666666666659391e-02,3.723809523809523681e-02,-2.359642857142856820e-01,6.051190476190463491e-02,8.489285714285710327e-02,-8.094047619047617381e-02,-8.174999999999998934e-02,2.384523809523810683e-02
-6.477380952380956680e-02,-6.477380952380956680e-02,3.808333333333328158e-02,-2.371666666666666923e-01,6.163095238095225165e-02,8.370238095238091702e-02,-8.222619047619043886e-02,2.813095238095236761e-02,-8.260714285714282346e-02
-6.166666666666654334e-02,-6.166666666666657109e-02,3.327380952380955964e-02,-2.202380952380953438e-01,5.645238095238092751e-02,7.804761904761904623e-02,-2.525833333333333264e-01,5.676190476190470097e-02,5.161904761904761302e-02
-6.422619047619052002e-02,-6.422619047619052002e-02,3.863095238095237000e-02,-2.360595238095237192e-01,6.086904761904751021e-02,8.313095238095234707e-02,4.666666666666660634e-02,-9.239285714285716544e-02,-9.239285714285717932e-02
-6.021428571428556059e-02,-6.021428571428558835e-02,3.619047619047617570e-02,-2.165476190476189611e-01,5.445238095238091186e-02,7.685714285714281835e-02,8.233333333333330006e-02,-2.810476190476194347e-01,4.819047619047619330e-02
-6.180952380952394604e-02,-6.180952380952391134e-02,3.709523809523810473e-02,-2.193809523809524820e-01,5.652380952380947621e-02,7.542857142857135877e-02,9.199999999999999845e-02,6.342857142857138975e-02,-3.014761904761907862e-01
-4.602380952380933504e-02,-4.602380952380940443e-02,3.066666666666656438e-02,-9.448809523809539868e-02,3.714285714285718576e-02,5.323809523809524408e-02,2.958690476190476426e-01,2.426428571428566328e-01,2.069761904761903692e-01
-6.916666666666657082e-02,-6.916666666666657082e-02,4.133333333333322201e-02,2.600000000000005432e-02,-5.250000000000009520e-02,-5.250000000000009520e-02,-4.800000000000004957e-02,-4.800000000000004957e-02,-4.800000000000004957e-02
-6.680952380952373537e-02,-6.680952380952373537e-02,3.966666666666661401e-02,2.533333333333338128e-02,-5.114285714285719819e-02,-5.114285714285719125e-02,-8.714285714285713302e-02,-8.714285714285713302e-02,2.519047619047621797e-02
-6.816666666666662544e-02,-6.816666666666661156e-02,4.033333333333326970e-02,2.500000000000005690e-02,-5.150000000000008044e-02,-5.150000000000009431e-02,-8.766666666666667052e-02,2.933333333333332238e-02,-8.766666666666667052e-02
-6.283333333333332438e-02,-6.283333333333332438e-02,3.683333333333328741e-02,2.366666666666669000e-02,-4.866666666666669833e-02,-4.866666666666669833e-02,-2.721666666666669454e-01,5.966666666666652769e-02,5.500000000000000028e-02
-6.783333333333327331e-02,-6.783333333333328719e-02,4.066666666666659408e-02,2.500000000000003608e-02,-5.100000000000008693e-02,-5.100000000000008693e-02,4.899999999999989087e-02,-9.850000000000011524e-02,-9.850000000000011524e-02
-6.303571428571413948e-02,-6.303571428571413948e-02,3.805952380952377923e-02,2.383333333333337994e-02,-4.736904761904762312e-02,-4.736904761904762312e-02,8.839285714285713413e-02,-3.027023809523814446e-01,5.322619047619049637e-02
-6.516666666666667829e-02,-6.516666666666663665e-02,3.899999999999999301e-02,2.316666666666666180e-02,-4.783333333333338044e-02,-4.783333333333336657e-02,9.766666666666663776e-02,6.716666666666656904e-02,-3.210000000000005071e-01
-4.747619047619034555e-02,-4.747619047619039412e-02,3.226190476190481105e-02,1.973809523809520045e-02,-3.514285714285708684e-02,-3.514285714285712847e-02,3.146666666666667056e-01,2.554047619047614681e-01,2.231666666666666243e-01
-6.600000000000003086e-02,-6.600000000000003086e-02,4.066666666666660795e-02,6.099999999999995010e-02,-2.336666666666664394e-01,8.099999999999983602e-02,-4.566666666666670260e-02,-4.566666666666670260e-02,-4.566666666666670260e-02
-6.383333333333335302e-02,-6.383333333333335302e-02,3.899999999999996525e-02,5.949999999999997652e-02,-2.299999999999998157e-01,7.949999999999987632e-02,-8.249999999999999001e-02,-8.249999999999999001e-02,2.466666666666667701e-02
-6.500000000000002998e-02,-6.500000000000002998e-02,3.966666666666663482e-02,5.883333333333330695e-02,-2.294999999999998985e-01,7.783333333333315729e-02,-8.216666666666665175e-02,2.750000000000000361e-02,-8.216666666666663787e-02
-6.003571428571425478e-02,-6.003571428571425478e-02,3.616666666666664559e-02,5.516666666666664165e-02,-2.165357142857142481e-01,7.320238095238085219e-02,-2.565000000000002278e-01,5.553571428571420915e-02,5.303571428571426938e-02
-6.466666666666673335e-02,-6.466666666666670560e-02,3.999999999999997308e-02,5.849999999999997563e-02,-2.283333333333330828e-01,7.749999999999983291e-02,4.633333333333326809e-02,-9.233333333333340609e-02,-9.233333333333340609e-02
-6.023809523809512539e-02,-6.023809523809509764e-02,3.742857142857141522e-02,5.466666666666667590e-02,-2.124047619047617352e-01,7.233333333333323567e-02,8.209523809523805449e-02,-2.842380952380956227e-01,5.059523809523808896e-02
-6.200000000000002037e-02,-6.199999999999998568e-02,3.833333333333333731e-02,5.316666666666663987e-02,-2.108333333333333171e-01,6.983333333333317794e-02,9.149999999999995637e-02,6.249999999999995143e-02,-3.005000000000002114e-01
-4.530952380952372321e-02,-4.530952380952366770e-02,3.170238095238107900e-02,3.804761904761905233e-02,-9.614285714285727980e-02,5.073809523809522798e-02,2.943452380952381042e-01,2.400476190476186489e-01,2.118809523809523920e-01
